entry_date,entry_hour,arrival_count
2019-11-01,8,287
2019-11-01,9,351
2019-11-01,10,276
2019-11-01,11,263
2019-11-01,12,116
2019-11-01,13,27
2019-11-01,14,289
2019-11-01,15,186
2019-11-01,16,115
2019-11-01,17,22
2019-11-01,18,213
2019-11-01,19,180
2019-11-01,20,128
2019-11-01,21,45
2019-11-01,22,18
2019-11-01,23,2
2019-11-02,8,219
2019-11-02,9,274
2019-11-02,10,253
2019-11-02,11,192
2019-11-02,12,86
2019-11-02,13,24
2019-11-02,14,69
2019-11-02,15,57
2019-11-02,16,33
2019-11-02,17,2
2019-11-02,18,78
2019-11-02,19,85
2019-11-02,20,50
2019-11-02,21,23
2019-11-02,22,23
2019-11-02,23,3
2019-11-03,8,143
2019-11-03,9,192
2019-11-03,10,213
2019-11-03,11,190
2019-11-03,12,106
2019-11-03,13,30
2019-11-03,14,60
2019-11-03,15,47
2019-11-03,16,26
2019-11-03,17,6
2019-11-03,18,94
2019-11-03,19,83
2019-11-03,20,53
2019-11-03,21,38
2019-11-03,22,19
2019-11-03,23,1
2019-11-04,8,363
2019-11-04,9,442
2019-11-04,10,376
2019-11-04,11,329
2019-11-04,12,142
2019-11-04,13,50
2019-11-04,14,380
2019-11-04,15,236
2019-11-04,16,185
2019-11-04,17,32
2019-11-04,18,326
2019-11-04,19,294
2019-11-04,20,143
2019-11-04,21,42
2019-11-04,22,22
2019-11-04,23,3
2019-11-05,7,2
2019-11-05,8,316
2019-11-05,9,348
2019-11-05,10,276
2019-11-05,11,277
2019-11-05,12,117
2019-11-05,13,36
2019-11-05,14,333
2019-11-05,15,189
2019-11-05,16,150
2019-11-05,17,20
2019-11-05,18,259
2019-11-05,19,261
2019-11-05,20,142
2019-11-05,21,52
2019-11-05,22,15
2019-11-05,23,5
2019-11-06,7,1
2019-11-06,8,288
2019-11-06,9,360
2019-11-06,10,327
2019-11-06,11,254
2019-11-06,12,111
2019-11-06,13,37
2019-11-06,14,357
2019-11-06,15,203
2019-11-06,16,135
2019-11-06,17,12
2019-11-06,18,293
2019-11-06,19,221
2019-11-06,20,145
2019-11-06,21,46
2019-11-06,22,20
2019-11-06,23,3
2019-11-07,7,1
2019-11-07,8,295
2019-11-07,9,357
2019-11-07,10,241
2019-11-07,11,254
2019-11-07,12,108
2019-11-07,13,30
2019-11-07,14,286
2019-11-07,15,181
2019-11-07,16,155
2019-11-07,17,21
2019-11-07,18,286
2019-11-07,19,235
2019-11-07,20,148
2019-11-07,21,51
2019-11-07,22,21
2019-11-07,23,3
2019-11-08,8,259
2019-11-08,9,256
2019-11-08,10,235
2019-11-08,11,274
2019-11-08,12,109
2019-11-08,13,41
2019-11-08,14,307
2019-11-08,15,195
2019-11-08,16,130
2019-11-08,17,25
2019-11-08,18,210
2019-11-08,19,179
2019-11-08,20,118
2019-11-08,21,43
2019-11-08,22,22
2019-11-08,23,2
2019-11-09,7,1
2019-11-09,8,199
2019-11-09,9,287
2019-11-09,10,267
2019-11-09,11,244
2019-11-09,12,102
2019-11-09,13,6
2019-11-09,14,70
2019-11-09,15,45
2019-11-09,16,17
2019-11-09,17,13
2019-11-09,18,80
2019-11-09,19,67
2019-11-09,20,77
2019-11-09,21,46
2019-11-09,22,16
2019-11-09,23,2
2019-11-10,7,1
2019-11-10,8,126
2019-11-10,9,206
2019-11-10,10,208
2019-11-10,11,200
2019-11-10,12,78
2019-11-10,13,25
2019-11-10,14,53
2019-11-10,15,50
2019-11-10,16,32
2019-11-10,17,8
2019-11-10,18,85
2019-11-10,19,82
2019-11-10,20,64
2019-11-10,21,14
2019-11-10,22,15
2019-11-10,23,1
2019-11-11,8,405
2019-11-11,9,488
2019-11-11,10,399
2019-11-11,11,315
2019-11-11,12,128
2019-11-11,13,51
2019-11-11,14,445
2019-11-11,15,255
2019-11-11,16,164
2019-11-11,17,23
2019-11-11,18,404
2019-11-11,19,299
2019-11-11,20,149
2019-11-11,21,59
2019-11-11,22,28
2019-11-11,23,5
2019-11-12,7,2
2019-11-12,8,323
2019-11-12,9,387
2019-11-12,10,295
2019-11-12,11,269
2019-11-12,12,119
2019-11-12,13,40
2019-11-12,14,354
2019-11-12,15,203
2019-11-12,16,107
2019-11-12,17,35
2019-11-12,18,272
2019-11-12,19,283
2019-11-12,20,141
2019-11-12,21,41
2019-11-12,22,19
2019-11-12,23,2
2019-11-13,7,4
2019-11-13,8,266
2019-11-13,9,349
2019-11-13,10,314
2019-11-13,11,245
2019-11-13,12,124
2019-11-13,13,29
2019-11-13,14,27
