hour,arrival_count,arrival_share
0,0,0.0
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,12,0.000400026668444563
8,3489,0.11630775385025668
9,4297,0.14324288285885725
10,3680,0.12267484498966598
11,3306,0.11020734715647709
12,1446,0.04820321354756984
13,426,0.014200946729781986
14,3030,0.10100673378225215
15,1847,0.061570771384758985
16,1249,0.04163610907393826
17,219,0.007300486699113274
18,2600,0.0866724448296553
19,2269,0.07563837589172612
20,1358,0.045269684645643044
21,500,0.01666777785185679
22,238,0.007933862257483833
23,32,0.0010667377825188346
