scenario_id,base_arrival_rate_per_hour,queue_threshold,wait_threshold_hours,p_respiratory,p_cardio,p_trauma,p_psych,p_generic,arrival_profile_type,daily_budget_cap,arr_share_h00,arr_share_h01,arr_share_h02,arr_share_h03,arr_share_h04,arr_share_h05,arr_share_h06,arr_share_h07,arr_share_h08,arr_share_h09,arr_share_h10,arr_share_h11,arr_share_h12,arr_share_h13,arr_share_h14,arr_share_h15,arr_share_h16,arr_share_h17,arr_share_h18,arr_share_h19,arr_share_h20,arr_share_h21,arr_share_h22,arr_share_h23,evt1_present,evt1_start_hour,evt1_duration,evt1_arrival_multiplier,evt1_mult_respiratory,evt1_mult_cardio,evt1_mult_trauma,evt1_mult_psych,evt1_mult_generic,evt2_present,evt2_start_hour,evt2_duration,evt2_arrival_multiplier,evt2_mult_respiratory,evt2_mult_cardio,evt2_mult_trauma,evt2_mult_psych,evt2_mult_generic,evt3_present,evt3_start_hour,evt3_duration,evt3_arrival_multiplier,evt3_mult_respiratory,evt3_mult_cardio,evt3_mult_trauma,evt3_mult_psych,evt3_mult_generic,evt4_present,evt4_start_hour,evt4_duration,evt4_arrival_multiplier,evt4_mult_respiratory,evt4_mult_cardio,evt4_mult_trauma,evt4_mult_psych,evt4_mult_generic,evt5_present,evt5_start_hour,evt5_duration,evt5_arrival_multiplier,evt5_mult_respiratory,evt5_mult_cardio,evt5_mult_trauma,evt5_mult_psych,evt5_mult_generic,evt6_present,evt6_start_hour,evt6_duration,evt6_arrival_multiplier,evt6_mult_respiratory,evt6_mult_cardio,evt6_mult_trauma,evt6_mult_psych,evt6_mult_generic,ga_selection,ga_seed,ga_replications,ga_population_size,ga_generations,mean_error_best,best_rt,best_cardio,best_radio,best_mh,best_physician,best_pa,best_nurse
ds-0001-real,10.27665809,12,1.04862237,0.27586322,0.03668329,0.29061118,0.31194301,0.08489930,real_hourly,79058.58461888,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00036135,0.12563721,0.16556073,0.10896898,0.11703264,0.04148431,0.01057553,0.09855642,0.04695709,0.04596936,0.00541584,0.08423742,0.08038036,0.04358682,0.01613114,0.00843666,0.00070814,1,117.0,34.0,1.0,2.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,lexicase,42,5,16,8,0.06849810,7,1,6,6,2,3,11
ds-0002-flat,33.77331349,15,1.79395378,0.24805130,0.02695744,0.03352964,0.35164402,0.33981760,flat,131623.81884324,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,1,112.0,24.0,1.0,2.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,lexicase,43,5,16,8,0.14083248,14,2,1,12,6,19,17
ds-0003-flat,25.77592802,18,1.88645338,0.06838875,0.26454068,0.34001833,0.12838928,0.19866296,flat,58206.15905188,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,1,90.0,21.0,1.0,2.0,1.0,1.0,1.0,1.0,1,67.0,26.0,1.0,1.0,1.6,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,lexicase,44,5,16,8,0.20962460,5,4,0,7,1,8,5
ds-0004-real,29.89833059,11,1.95303034,0.05497041,0.15408851,0.33300366,0.34276406,0.11517337,real_hourly,104447.80810699,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00027378,0.10919990,0.14843966,0.10903155,0.13208004,0.04253640,0.01464489,0.11130249,0.07217497,0.04181519,0.00889833,0.06132111,0.08354859,0.03722353,0.01958738,0.00695252,0.00096967,1,80.0,36.0,1.0,2.0,1.0,1.0,1.0,1.0,1,113.0,27.0,1.0,1.0,1.6,1.0,1.0,1.0,1,45.0,20.0,1.08,1.2,1.0,2.6,1.0,1.0,1,115.0,36.0,1.0,1.0,1.0,1.0,2.2,1.0,1,40.0,22.0,1.12,4.5,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,lexicase,45,5,16,8,0.07641726,6,4,8,18,1,3,10
ds-0005-real,12.34318216,10,1.50756794,0.15492112,0.25560636,0.34659481,0.19827342,0.04460430,real_hourly,91773.77932206,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00047014,0.11888154,0.12649839,0.14476987,0.12566408,0.03920564,0.01723313,0.09006053,0.06107524,0.03381620,0.00827464,0.09020638,0.07677891,0.04270325,0.01451882,0.00861372,0.00122952,1,137.0,23.0,1.0,2.0,1.0,1.0,1.0,1.0,1,2.0,20.0,1.0,1.0,1.6,1.0,1.0,1.0,1,33.0,13.0,1.08,1.2,1.0,2.6,1.0,1.0,1,37.0,11.0,1.0,1.0,1.0,1.0,2.2,1.0,1,18.0,28.0,1.12,4.5,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,lexicase,46,5,16,8,0.05743089,7,5,7,8,1,1,9
ds-0006-real,18.49995400,18,1.14966456,0.38964196,0.16959185,0.02473123,0.19652079,0.21951417,real_hourly,88514.33991529,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00031429,0.09815614,0.12097890,0.10926454,0.15122977,0.05080459,0.01901331,0.10092861,0.06507132,0.03374068,0.00858759,0.07679110,0.08290676,0.05234382,0.01865800,0.00990366,0.00130692,1,108.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1,142.0,20.0,1.0,1.0,1.6,1.0,1.0,1.0,1,50.0,35.0,1.08,1.2,1.0,2.6,1.0,1.0,1,126.0,15.0,1.0,1.0,1.0,1.0,2.2,1.0,1,156.0,7.0,1.12,4.5,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,lexicase,47,5,16,8,0.10364936,14,4,2,10,1,10,9
ds-0007-flat,24.76522986,13,1.56385548,0.13754684,0.07889130,0.19744756,0.23104985,0.35506445,flat,83965.91151615,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,1,110.0,26.0,1.0,2.0,1.0,1.0,1.0,1.0,1,133.0,15.0,1.0,1.0,1.6,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,lexicase,48,5,16,8,0.15215199,6,2,5,11,1,9,5
ds-0008-flat,21.62688086,17,1.71427778,0.40400442,0.15641272,0.31631498,0.04203835,0.08122953,flat,118778.18556794,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,1,128.0,28.0,1.0,2.0,1.0,1.0,1.0,1.0,1,73.0,8.0,1.0,1.0,1.6,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,lexicase,49,5,16,8,0.06809911,16,8,6,7,3,0,8
ds-0009-real,12.46872837,11,1.75699983,0.30556188,0.18255646,0.21488379,0.13386981,0.16312805,real_hourly,122135.99753924,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00033014,0.13513554,0.13913536,0.12385544,0.09845631,0.04950049,0.01398161,0.11041093,0.05089688,0.03700628,0.00762848,0.07633169,0.08473759,0.04246648,0.01891426,0.00978289,0.00142962,1,130.0,25.0,1.0,2.0,1.0,1.0,1.0,1.0,1,66.0,10.0,1.0,1.0,1.6,1.0,1.0,1.0,1,78.0,9.0,1.08,1.2,1.0,2.6,1.0,1.0,1,18.0,20.0,1.0,1.0,1.0,1.0,2.2,1.0,1,140.0,17.0,1.12,4.5,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,lexicase,50,5,16,8,0.08527745,12,5,5,9,3,4,24
ds-0010-flat,34.42907367,8,1.84780926,0.28788290,0.14877806,0.28360236,0.10194474,0.17779194,flat,60797.25669366,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,0.04166667,1,147.0,20.0,1.0,2.0,1.0,1.0,1.0,1.0,1,135.0,12.0,1.0,1.0,1.6,1.0,1.0,1.0,1,23.0,7.0,1.08,1.2,1.0,2.6,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,lexicase,51,5,16,8,0.14419116,4,4,2,9,1,4,5
